,time,event,event_key,data1,data2,description
0,4379,LMouseButton,1,407,371,
1,7799,LMouseButton,1,391,873,
2,11338,LMouseButton,1,609,236,
3,15954,LMouseButton,1,504,506,
4,16671,LMouseButton,1,504,506,
5,21476,LMouseButton,1,421,532,
6,23939,LMouseButton,1,453,458,
7,33629,LMouseButton,1,1220,4,
8,35583,LMouseButton,1,975,354,
9,39441,LMouseButton,1,936,776,
10,41934,LMouseButton,1,958,694,
11,49051,LMouseButton,1,1012,768,
12,50467,LMouseButton,1,1012,767,
13,51115,LMouseButton,1,1013,765,
14,59967,LMouseButton,1,1012,766,
15,62090,LMouseButton,1,397,515,
16,68531,LMouseButton,1,417,871,
17,72718,LMouseButton,1,372,211,
18,73645,LMouseButton,1,505,219,
19,74891,LMouseButton,1,663,222,
20,75689,LMouseButton,1,629,264,
21,79479,LMouseButton,1,468,594,
22,84922,LMouseButton,1,405,798,
23,90245,LMouseButton,1,329,735,
24,90763,LMouseButton,1,320,735,
25,94023,LMouseButton,1,402,700,
26,97741,LMouseButton,1,502,707,
27,103374,LMouseButton,1,413,696,
28,103763,LMouseButton,1,408,696,
29,105308,LMouseButton,1,440,655,
30,106125,LMouseButton,1,441,655,
31,111120,LMouseButton,1,281,708,
32,113294,LMouseButton,1,282,706,
33,115666,LMouseButton,1,409,703,
34,119075,LMouseButton,1,430,793,
35,119763,LMouseButton,1,432,798,
36,128636,LMouseButton,1,461,598,
37,129334,LMouseButton,1,473,598,
38,130689,LMouseButton,1,473,598,
39,132065,LMouseButton,1,328,561,
40,133680,LMouseButton,1,398,501,
41,134588,LMouseButton,1,396,499,
42,135076,LMouseButton,1,394,499,
43,135864,LMouseButton,1,335,567,
44,143969,LMouseButton,1,505,731,
45,147487,LMouseButton,1,505,731,
46,148614,LMouseButton,1,427,800,
47,151923,LMouseButton,1,521,768,
48,155411,LMouseButton,1,469,849,
49,156957,LMouseButton,1,590,715,
50,160057,LMouseButton,1,670,871,
51,163695,LMouseButton,1,567,770,
52,165181,LMouseButton,1,475,805,
53,167793,LMouseButton,1,476,798,
54,169547,LMouseButton,1,537,851,
55,170355,LMouseButton,1,545,849,
56,172797,LMouseButton,1,446,653,
57,174313,LMouseButton,1,435,656,
58,174652,LMouseButton,1,440,651,
59,175868,LMouseButton,1,442,643,
60,176297,LMouseButton,1,441,648,
61,180544,LMouseButton,1,461,252,
62,185837,LMouseButton,1,511,765,
63,186216,LMouseButton,1,509,765,
64,186375,LMouseButton,1,509,765,
65,186515,LMouseButton,1,509,765,
66,187562,LMouseButton,1,598,760,
67,188240,LMouseButton,1,600,768,
68,188937,LMouseButton,1,601,768,
69,191799,LMouseButton,1,507,771,
70,197899,LMouseButton,1,1027,535,
71,200142,LMouseButton,1,1101,585,
72,208635,LMouseButton,1,878,639,
73,212592,LMouseButton,1,878,639,
74,214596,LMouseButton,1,908,519,
75,221744,LMouseButton,1,1003,558,
76,252366,LMouseButton,1,503,7,
77,261816,LMouseButton,1,1006,563,
78,262394,LMouseButton,1,1004,563,
79,262564,LMouseButton,1,1004,563,
80,287445,LMouseButton,1,345,235,
81,288372,LMouseButton,1,497,235,
82,289648,LMouseButton,1,666,234,
83,290275,LMouseButton,1,645,255,
84,299676,LMouseButton,1,667,466,
85,300743,LMouseButton,1,767,232,
86,305109,LMouseButton,1,344,455,
87,311798,LMouseButton,1,681,701,
88,313323,LMouseButton,1,510,767,
89,316334,LMouseButton,1,519,624,
90,320251,LMouseButton,1,567,517,
91,322075,LMouseButton,1,612,606,
92,327089,LMouseButton,1,549,678,
93,328544,LMouseButton,1,612,602,
94,329621,LMouseButton,1,577,515,
95,334306,LMouseButton,1,518,627,
96,336728,LMouseButton,1,504,710,
97,337087,LMouseButton,1,489,710,
98,342460,LMouseButton,1,612,626,
99,345431,LMouseButton,1,527,524,
100,354054,LMouseButton,1,466,257,
101,358330,LMouseButton,1,623,678,
102,359646,LMouseButton,1,625,623,
103,360932,LMouseButton,1,476,571,
104,362098,LMouseButton,1,447,653,
105,368118,LMouseButton,1,534,636,
106,371797,LMouseButton,1,664,557,
107,375794,LMouseButton,1,624,647,
108,376462,LMouseButton,1,624,645,
109,377529,LMouseButton,1,709,488,
110,377977,LMouseButton,1,702,480,
111,379781,LMouseButton,1,668,394,
112,380679,LMouseButton,1,668,393,
113,381954,LMouseButton,1,707,476,
114,383021,LMouseButton,1,659,555,
115,384696,LMouseButton,1,524,646,
116,385154,LMouseButton,1,537,640,
117,388633,LMouseButton,1,563,552,
118,390208,LMouseButton,1,513,503,
119,390866,LMouseButton,1,513,503,
120,393916,LMouseButton,1,439,544,
121,395461,LMouseButton,1,439,544,
122,396647,LMouseButton,1,588,446,
123,400853,LMouseButton,1,532,414,
124,401462,LMouseButton,1,532,414,
125,406814,LMouseButton,1,592,509,
126,407452,LMouseButton,1,592,509,
127,414928,LMouseButton,1,410,548,
128,420481,LMouseButton,1,558,522,
129,422245,LMouseButton,1,558,520,
130,424847,LMouseButton,1,504,551,
131,427060,LMouseButton,1,504,551,
132,429941,LMouseButton,1,415,453,
133,432283,LMouseButton,1,453,531,
134,433480,LMouseButton,1,466,371,
135,434757,LMouseButton,1,550,325,
136,435175,LMouseButton,1,549,317,
137,437039,LMouseButton,1,420,454,
138,439979,LMouseButton,1,355,474,
139,443847,LMouseButton,1,452,419,
140,444894,LMouseButton,1,417,375,
141,445930,LMouseButton,1,368,468,
142,446369,LMouseButton,1,359,467,
143,447565,LMouseButton,1,415,546,
144,447944,LMouseButton,1,408,547,
145,449180,LMouseButton,1,404,545,
146,452002,LMouseButton,1,525,696,
147,453028,LMouseButton,1,487,613,
148,454942,LMouseButton,1,506,555,
149,456617,LMouseButton,1,506,555,
150,459768,LMouseButton,1,407,551,
151,460426,LMouseButton,1,407,551,
152,464254,LMouseButton,1,492,610,
153,465709,LMouseButton,1,491,609,
154,467434,LMouseButton,1,574,524,
155,467743,LMouseButton,1,554,522,
156,469209,LMouseButton,1,621,594,
157,469827,LMouseButton,1,620,594,
158,472957,LMouseButton,1,682,659,
159,474084,LMouseButton,1,682,659,
160,479267,LMouseButton,1,694,534,
161,483924,LMouseButton,1,694,534,
162,485926,LMouseButton,1,556,524,
163,489147,LMouseButton,1,588,506,
164,489834,LMouseButton,1,588,506,
165,494748,LMouseButton,1,656,464,
166,495376,LMouseButton,1,661,461,
167,500381,LMouseButton,1,644,377,
168,503242,LMouseButton,1,596,298,
169,504767,LMouseButton,1,540,391,
170,505415,LMouseButton,1,550,396,
171,508934,LMouseButton,1,550,393,
172,510668,LMouseButton,1,460,367,
173,512273,LMouseButton,1,396,434,
174,512852,LMouseButton,1,394,434,
175,514227,LMouseButton,1,466,366,
176,515244,LMouseButton,1,647,369,
177,526110,LMouseButton,1,476,411,
178,531404,LMouseButton,1,482,413,
179,538182,LMouseButton,1,400,466,
180,539658,LMouseButton,1,431,376,
181,540854,LMouseButton,1,511,345,
