,time,event,event_key,data1,data2,description
0,9132,LMouseButton,1,42,596,
1,10707,LMouseButton,1,41,596,
2,15133,LMouseButton,1,40,551,
3,16728,LMouseButton,1,94,575,
4,21493,LMouseButton,1,672,533,
5,25301,LMouseButton,1,699,597,
6,26577,LMouseButton,1,699,597,
7,28032,LMouseButton,1,694,629,
8,28710,LMouseButton,1,694,628,
9,30265,LMouseButton,1,693,584,
10,30743,LMouseButton,1,693,584,
11,31551,LMouseButton,1,693,551,
12,32099,LMouseButton,1,693,551,
13,33784,LMouseButton,1,696,635,
14,34621,LMouseButton,1,696,634,
15,34970,LMouseButton,1,696,634,
16,35209,LMouseButton,1,696,634,
17,36704,LMouseButton,1,680,658,
18,37492,LMouseButton,1,680,658,
19,38379,LMouseButton,1,673,690,
20,39854,LMouseButton,1,673,693,
21,40233,LMouseButton,1,673,694,
22,41808,LMouseButton,1,673,694,
23,42506,LMouseButton,1,671,713,
24,49744,LMouseButton,1,674,707,
25,52934,LMouseButton,1,698,551,
26,53921,LMouseButton,1,698,551,
27,58876,LMouseButton,1,696,626,
28,59743,LMouseButton,1,696,629,
29,60092,LMouseButton,1,696,629,
30,60929,LMouseButton,1,696,629,
31,61597,LMouseButton,1,692,603,
32,63920,LMouseButton,1,780,675,
33,81514,LMouseButton,1,461,220,
34,82869,LMouseButton,1,612,221,
35,83877,LMouseButton,1,563,264,
36,89568,LMouseButton,1,45,550,
37,92937,LMouseButton,1,69,612,
38,93486,LMouseButton,1,42,610,
39,95061,LMouseButton,1,42,610,
40,97732,LMouseButton,1,697,596,
41,100842,LMouseButton,1,683,537,
42,103902,LMouseButton,1,679,596,
43,106384,LMouseButton,1,41,608,
44,131893,LMouseButton,1,66,710,
45,132771,LMouseButton,1,65,710,
46,142909,LMouseButton,1,590,233,
47,143488,LMouseButton,1,608,234,
48,144235,LMouseButton,1,571,280,
49,149917,LMouseButton,1,43,611,
50,152310,LMouseButton,1,42,585,
51,153536,LMouseButton,1,62,627,
52,155599,LMouseButton,1,678,599,
53,156377,LMouseButton,1,675,584,
54,157154,LMouseButton,1,675,584,
55,157902,LMouseButton,1,674,552,
56,159208,LMouseButton,1,696,567,
57,191546,LMouseButton,1,592,253,
58,192273,LMouseButton,1,610,250,
59,193011,LMouseButton,1,579,275,
60,196919,LMouseButton,1,42,582,
61,198653,LMouseButton,1,678,546,
62,202711,LMouseButton,1,39,589,
63,207636,LMouseButton,1,62,628,
64,209501,LMouseButton,1,62,614,
65,210248,LMouseButton,1,64,614,
66,210877,LMouseButton,1,61,599,
67,212183,LMouseButton,1,61,599,
68,214067,LMouseButton,1,40,550,
69,214924,LMouseButton,1,40,550,
70,220028,LMouseButton,1,62,614,
71,220786,LMouseButton,1,62,613,
72,221384,LMouseButton,1,59,626,
73,222780,LMouseButton,1,141,646,
74,227465,LMouseButton,1,679,549,
75,232399,LMouseButton,1,740,584,
76,236217,LMouseButton,1,722,604,
77,236985,LMouseButton,1,722,604,
78,237563,LMouseButton,1,717,614,
79,238470,LMouseButton,1,717,614,
80,246874,LMouseButton,1,500,266,
81,248369,LMouseButton,1,612,269,
82,249067,LMouseButton,1,574,291,
83,259355,LMouseButton,1,60,627,
84,260720,LMouseButton,1,43,577,
