number,time,duration,screen_x,screen_y,avg_dilation,saccadic_length
1,172,120,721,344,0.2969662447257355,
2,491,100,709,360,0.3209662447257364,20.0
3,790,100,680,432,0.12196624472573614,77.62087348130012
4,930,140,679,439,0.20946624472573605,7.0710678118654755
5,1169,100,668,428,0.18796624472573642,15.556349186104045
6,1628,219,569,1012,0.4209662447257352,592.3318326748952
7,3063,100,163,301,0.13003375527426408,818.7533206039533
8,3183,199,186,369,0.0884662447257365,71.78439941937245
9,3462,279,389,333,0.033466244725735894,206.1674077054858
34,13331,439,948,677,0.24803375527426352,656.3665134663712
35,13830,180,949,679,0.28253375527426394,2.23606797749979
91,33049,100,1201,-41,0.5090337552742641,762.8263236150152
92,33189,438,1247,55,0.5690337552742637,106.45186705737011
93,34365,160,586,272,0.409033755274264,695.7082721946032
94,34684,219,876,295,0.393033755274264,290.91063920042524
95,34943,299,1043,290,0.48103375527426406,167.0748335327616
96,35322,179,1101,831,0.29453375527426395,544.1001746002293
97,35522,219,1107,799,0.3130337552742639,32.55764119219941
98,35920,339,1111,886,0.1680337552742639,87.09190547921202
99,36459,359,1098,809,0.1370337552742642,78.08969202141856
100,36837,100,1077,787,0.10196624472573612,30.4138126514911
103,38074,279,279,189,0.276033755274264,997.2000802246257
104,38472,120,909,700,0.2109662447257361,811.184935757562
105,38692,100,950,697,0.20446624472573616,41.10960958218893
106,38911,937,943,766,0.2854662447257361,69.35416353759881
107,39928,120,929,652,0.19946624472573626,114.85643212288984
108,40167,439,934,684,0.262466244725736,32.38826948140329
109,40626,219,987,676,0.2894662447257361,53.600373133029585
110,40865,140,1016,691,0.17096624472573607,32.64965543462902
111,41024,379,1021,681,0.19596624472573643,11.180339887498949
112,41463,279,973,764,0.18596624472573575,95.88013350011565
113,41762,538,971,687,0.24846624472573575,77.02596964660685
114,42320,359,969,690,0.14646624472573588,3.605551275463989
115,42699,279,980,650,0.2499662447257358,41.48493702538308
116,42998,439,948,618,0.32746624472573593,45.254833995939045
117,43576,160,897,689,0.2519662447257356,87.41853350405736
118,43856,219,913,732,0.13346624472573554,45.880278987817846
119,44194,578,1035,745,0.15546624472573578,122.6906679417795
120,44793,179,1016,755,0.2369662447257359,21.470910553583888
123,45670,479,277,186,0.20453375527426365,932.6746485243394
124,46726,140,1022,765,0.2289662447257359,943.5390823913973
125,46886,199,1018,762,0.3039662447257361,5.0
126,47365,179,290,589,0.19596624472573554,748.2733457767956
127,47604,239,282,209,0.21853375527426389,380.08420119757676
128,47903,339,71,186,0.15803375527426367,212.24985276791125
129,48361,379,1010,728,0.33196624472573566,1084.197860171288
130,48760,239,1035,736,0.33996624472573655,26.248809496813376
131,49019,239,925,675,0.38396624472573615,125.78155667664477
132,49278,459,935,672,0.5164662447257364,10.44030650891055
133,49777,219,1015,733,0.38596624472573593,100.60318086422517
134,50076,299,1008,761,0.44646624472573615,28.861739379323623
135,50415,518,988,706,0.35996624472573613,58.52349955359813
136,51053,718,1011,752,0.6204662447257365,51.42956348249516
137,52070,120,875,655,0.6219662447257357,167.0478973228936
138,52309,259,407,727,0.3924662447257359,473.5060717667726
139,52748,199,390,245,0.21503375527426405,482.2996993571528
140,52987,399,245,201,0.23503375527426407,151.52887513606112
141,53545,199,306,194,0.1290337552742642,61.40032573203501
142,53844,120,399,627,0.36796624472573614,442.87470011279714
143,54044,100,415,745,0.26496624472573593,119.07980517283357
144,54343,160,1022,754,0.21146624472573583,607.0667179149257
145,54542,259,1020,745,0.340966244725736,9.219544457292887
146,54921,139,1040,733,0.44896624472573565,23.323807579381203
147,55120,359,952,690,0.40446624472573633,97.94386147176351
148,55698,140,992,659,0.7419662447257367,50.60632371551998
149,55878,379,998,762,0.4554662447257365,103.1746092796091
150,56297,179,1002,752,0.31346624472573614,10.770329614269007
151,56954,180,973,676,0.28996624472573584,81.34494452638098
152,57154,279,1008,671,0.28596624472573584,35.35533905932738
153,57453,498,929,733,0.38946624472573577,100.42410069301094
154,57971,259,983,764,0.37896624472573626,62.26556030423239
155,58270,160,1015,663,0.36596624472573547,105.94810050208545
156,58589,139,1023,761,0.4004662447257359,98.32598842625484
157,58848,219,1045,758,0.4944662447257362,22.20360331117452
158,59367,239,998,742,0.802466244725736,49.64876634922564
159,59845,120,1004,756,0.31896624472573576,15.231546211727817
160,60085,219,980,684,0.32146624472573615,75.8946638440411
161,60344,658,1008,674,0.3299662447257359,29.732137494637012
162,61321,139,440,689,0.44646624472573615,568.1980288596574
