number,time,duration,screen_x,screen_y,avg_dilation,saccadic_length
1,140,100,721,378,0.19003375527426414,
2,280,439,689,523,0.26153375527426403,148.48905683584903
3,938,179,387,327,0.370533755274264,360.02777670618696
4,1137,219,229,214,0.3260337552742638,194.2498391247725
5,1775,179,63,527,0.2505337552742639,354.29507476113747
6,2094,279,629,496,0.3929662447257365,566.8483042225671
7,2453,139,527,285,0.09003375527426405,234.3608329051593
8,2653,179,322,186,0.19703375527426426,227.6532450899833
9,2852,578,252,214,0.23253375527426412,75.39230729988306
10,3450,279,67,189,0.13753375527426392,186.6815470259447
11,3749,180,41,217,0.13853375527426381,38.2099463490856
12,4048,120,112,480,0.2599662447257356,272.41512439657237
13,4208,219,47,559,0.045466244725735905,102.30347012687302
14,4646,219,85,216,0.07953375527426365,345.0985366529392
15,4886,140,42,214,0.05953375527426408,43.04648650006177
16,5085,140,393,195,0.0544662447257358,351.51386885868385
17,5244,239,227,195,0.050966244725735965,166.0
18,5504,259,271,195,0.07496624472573599,44.0
19,5783,239,236,202,0.06446624472573648,35.6931365951495
20,6042,339,63,195,0.090966244725736,173.1415605797753
21,6640,219,69,536,0.16746624472573624,341.0527818388233
22,6879,239,74,541,0.12696624472573648,7.0710678118654755
23,7278,538,75,589,0.2684662447257362,48.010415536631214
24,7856,160,69,589,0.23846624472573597,6.0
25,8135,120,79,593,0.08496624472573577,10.770329614269007
26,8335,199,30,604,0.1169662447257358,50.21951811795888
27,8554,159,27,604,0.15446624472573633,3.0
28,8773,738,68,614,0.19396624472573576,42.20189569201838
29,9531,479,101,622,0.12796624472573592,33.95585369269929
30,10029,179,49,595,0.08796624472573589,58.59180830116101
31,10388,120,56,601,0.2764662447257362,9.219544457292887
32,10548,100,68,632,0.1305337552742638,33.24154027718932
33,10667,259,27,611,0.10403375527426428,46.06517122512408
34,10947,160,66,613,0.13903375527426443,39.05124837953327
35,11186,120,62,623,0.07653375527426398,10.770329614269007
36,11545,120,63,623,0.13653375527426403,1.0
37,11724,159,59,610,0.15253375527426405,13.601470508735444
38,11904,100,21,616,0.175033755274264,38.47076812334269
39,12023,140,16,609,0.1820337552742637,8.602325267042627
40,12242,219,63,634,0.12853375527426403,53.23532661682466
41,12542,120,28,608,0.14503375527426376,43.60045871318328
42,12781,179,29,618,0.11053375527426423,10.04987562112089
43,13000,160,32,616,0.09046624472573583,3.605551275463989
44,13399,120,37,547,0.07196624472573632,69.18092222571191
45,13539,219,72,546,0.09753375527426389,35.014282800023196
46,13798,160,52,527,0.08553375527426388,27.586228448267445
47,14097,618,70,538,0.11553375527426413,21.095023109728988
48,14775,239,35,553,0.07403375527426403,38.07886552931954
49,15034,1017,95,558,0.19396624472573576,60.207972893961475
50,16210,937,88,580,0.09396624472573611,23.08679276123039
51,17267,219,493,722,0.145466244725736,429.17245950783
52,17566,219,105,599,0.15353375527426394,407.02948296161543
53,17965,179,748,537,0.12003375527426385,645.9821978971247
54,18164,279,681,524,0.1340337552742641,68.24954212300622
55,18463,299,710,518,0.18703375527426402,29.614185789921695
56,18862,219,68,528,0.19753375527426398,642.0778768965646
57,19101,199,79,548,0.13653375527426403,22.825424421026653
58,19380,120,651,540,0.08796624472573589,572.0559413204271
59,19520,219,691,540,0.11953375527426369,40.0
60,19819,319,702,537,0.22753375527426378,11.40175425099138
61,20158,199,717,543,0.21453375527426433,16.15549442140351
62,20457,120,685,557,0.12396624472573592,34.92849839314596
63,20596,259,717,555,0.215966244725736,32.0624390837628
64,20875,160,712,551,0.12153375527426435,6.4031242374328485
65,21194,199,664,522,0.17403375527426412,56.08029957123981
66,21454,638,732,525,0.17053375527426384,68.06614430096654
67,22112,219,727,585,0.11603375527426385,60.207972893961475
68,22351,538,734,582,0.09553375527426367,7.615773105863909
69,23408,219,718,549,0.1200337552742643,36.6742416417845
70,23806,140,95,582,0.17953375527426418,623.8733845901746
71,24006,140,77,557,0.18403375527426435,30.805843601498726
72,24305,100,769,617,0.11253375527426401,694.5962856220871
73,24504,180,722,599,0.19403375527426414,50.32891812864648
74,24703,439,699,583,0.1850337552742638,28.0178514522438
75,25162,379,736,575,0.14403375527426432,37.8549864614954
76,25760,219,751,640,0.09646624472573562,66.70832032063167
77,25999,100,745,655,0.08703375527426394,16.15549442140351
78,26139,339,748,726,0.12703375527426397,71.06335201775947
79,26697,120,709,565,0.1620337552742641,165.65627063289816
80,26857,239,728,641,0.11253375527426401,78.33900688673555
81,27156,239,717,607,0.16803375527426434,35.73513677041127
82,27415,160,692,615,0.22753375527426423,26.248809496813376
83,27614,160,689,604,0.17853375527426385,11.40175425099138
84,27794,279,687,615,0.19903375527426403,11.180339887498949
85,28093,140,755,619,0.23103375527426406,68.11754546370561
86,28252,140,753,625,0.151033755274264,6.324555320336759
87,28691,179,701,552,0.2080337552742635,89.62700485902673
88,28890,180,718,548,0.13453375527426426,17.46424919657298
89,29090,299,719,537,0.237533755274264,11.045361017187261
90,29429,140,687,555,0.338533755274264,36.71511950137164
91,29608,279,772,556,0.23103375527426406,85.00588214941364
92,29907,219,714,550,0.2685337552742637,58.309518948453004
93,30146,120,739,553,0.22353375527426378,25.179356624028344
94,30286,140,737,566,0.2690337552742643,13.152946437965905
95,30445,219,750,568,0.2305337552742639,13.152946437965905
96,30904,160,659,521,0.26503375527426387,102.42070103255493
97,31143,120,693,514,0.23903375527426407,34.713109915419565
98,31403,359,729,527,0.26453375527426415,38.27531841800928
99,31821,259,772,552,0.229533755274264,49.73932046178355
100,32120,259,659,512,0.23403375527426418,119.87076374162301
101,32399,219,702,509,0.3045337552742642,43.104524124504614
102,32778,100,702,681,0.2345337552742639,172.0
103,32898,518,702,642,0.28053375527426416,39.0
104,33436,120,715,609,0.27553375527426427,35.4682957019364
105,33675,120,660,613,0.2595337552742638,55.14526271584895
106,33835,219,699,617,0.3220337552742638,39.20459156782532
107,34074,239,767,637,0.2930337552742639,70.8801805866774
108,34333,319,743,660,0.28803375527426445,33.24154027718932
109,34772,199,786,650,0.29553375527426384,44.14748010928823
110,35011,339,696,678,0.213533755274264,94.25497334358543
111,35430,239,712,666,0.22753375527426423,20.0
112,35709,239,731,636,0.24803375527426397,35.510561809129406
113,35988,100,674,664,0.20153375527426398,63.50590523722971
114,36108,698,686,648,0.2975337552742636,20.0
115,36865,120,662,643,0.2770337552742643,24.515301344262525
116,37085,359,735,666,0.27003375527426376,76.53757247260981
117,37503,299,682,675,0.2265337552742639,53.75872022286245
118,37862,279,709,675,0.3025337552742635,27.0
119,38161,239,663,674,0.26153375527426403,46.010868281309364
120,38520,179,765,687,0.1360337552742643,102.82509421342633
121,38759,279,730,705,0.24703375527426408,39.35733730830886
122,39078,100,747,739,0.22903375527426384,38.01315561749642
123,39397,100,822,722,0.3310337552742637,76.90253571892151
124,39597,379,716,736,0.3615337552742637,106.92053123698928
125,40016,120,785,720,0.2765337552742637,70.83078426785913
126,40195,279,711,693,0.2425337552742639,78.77182237323191
127,40574,100,770,762,0.1770337552742638,90.78546139112804
128,40893,200,842,722,0.2750337552742641,82.365041127896
129,41112,179,728,741,0.18203375527426413,115.57248807566617
130,41311,239,731,724,0.21953375527426422,17.26267650163207
131,41750,219,737,700,0.24353375527426424,24.73863375370596
132,41989,837,693,706,0.29153375527426384,44.40720662234904
133,43066,259,664,708,0.2240337552742644,29.068883707497267
134,43345,239,718,705,0.2190337552742636,54.08326913195984
135,43684,140,789,709,0.20103375527426381,71.11258679024411
136,43863,459,729,755,0.27253375527426416,75.6042326857432
137,44382,160,778,763,0.23153375527426379,49.64876634922564
138,44581,239,736,776,0.22303375527426406,43.965895873961216
139,44840,578,746,790,0.20103375527426381,17.204650534085253
140,45538,379,731,764,0.22253375527426433,30.01666203960727
141,45937,199,708,742,0.2245337552742641,31.827660925679098
142,46156,459,723,745,0.21803375527426416,15.297058540778355
143,46635,478,814,738,0.28503375527426433,91.26883367283708
144,47133,120,849,721,0.2320337552742644,38.91015291668744
145,47332,100,724,766,0.23653375527426412,132.85330255586422
146,47452,100,730,762,0.2715337552742638,7.211102550927978
147,47632,219,795,774,0.1965337552742641,66.09841147864296
148,47931,239,734,763,0.19453375527426386,61.98386886924694
149,48230,120,775,768,0.14553375527426393,41.30375285612676
150,48389,419,729,819,0.15653375527426405,68.6804193347711
151,48868,279,679,717,0.22603375527426417,113.59577456930342
152,49167,259,721,706,0.1980337552742637,43.41658669218482
153,49466,199,724,705,0.24653375527426435,3.1622776601683795
154,49685,319,745,725,0.17353375527426396,29.0
155,50024,179,711,722,0.1875337552742642,34.132096331752024
156,50283,120,750,720,0.2060337552742637,39.05124837953327
157,50443,379,682,713,0.23503375527426407,68.3593446428504
158,50861,120,687,592,0.2605337552742637,121.10326172320876
159,51001,199,682,611,0.300033755274264,19.6468827043885
160,51220,239,695,543,0.31903375527426414,69.2314957226839
161,51480,179,690,521,0.433033755274264,22.561028345356956
162,51719,139,650,514,0.417033755274264,40.607881008493905
163,51878,219,685,511,0.43653375527426386,35.12833614050059
164,52137,279,728,542,0.35003375527426384,53.009433122794285
165,52456,140,737,526,0.3440337552742645,18.35755975068582
166,52736,179,690,532,0.3255337552742641,47.38143096192854
167,52935,179,736,542,0.23903375527426407,47.07440918375928
168,53134,120,740,558,0.11803375527426452,16.492422502470642
169,53413,479,826,554,0.264033755274264,86.09297300012354
170,53912,199,711,520,0.3495337552742641,119.9208072020865
171,54131,100,714,537,0.3205337552742642,17.26267650163207
172,54251,498,722,548,0.3590337552742642,13.601470508735444
173,54869,239,684,544,0.2900337552742642,38.2099463490856
174,55128,479,718,562,0.26053375527426414,38.47076812334269
175,55627,120,729,563,0.22553375527426356,11.045361017187261
176,55766,120,751,561,0.2810337552742639,22.090722034374522
177,55906,140,800,552,0.3245337552742642,49.8196748283246
178,56105,179,760,558,0.31903375527426414,40.44749683231337
179,56304,199,722,576,0.3180337552742638,42.04759208325728
180,56544,339,721,583,0.28953375527426406,7.0710678118654755
181,56903,219,685,581,0.2525337552742637,36.05551275463989
182,57182,120,738,604,0.2450337552742643,57.77542730261716
183,57321,120,732,619,0.24053375527426413,16.15549442140351
184,57560,179,718,596,0.21803375527426416,26.92582403567252
185,57919,120,711,618,0.20703375527426404,23.08679276123039
186,58139,199,739,614,0.2770337552742643,28.284271247461902
187,58458,778,695,623,0.2730337552742639,44.91102314577124
188,59255,160,765,629,0.19103375527426403,70.25667228100119
189,59435,200,746,678,0.19603375527426392,52.55473337388365
190,59714,299,691,575,0.2610337552742643,116.76472069936193
191,60093,100,690,639,0.2445337552742637,64.00781202322104
192,60332,140,749,685,0.171033755274264,74.81310045707235
193,60551,219,803,671,0.1800337552742639,55.78530272392541
194,60790,140,744,691,0.18953375527426397,62.297672508690084
195,61050,140,700,595,0.213533755274264,105.60303025955268
196,61229,140,680,584,0.2675337552742634,22.825424421026653
197,61388,179,722,561,0.31153375527426386,47.885279575251516
198,61688,199,726,581,0.326533755274264,20.396078054371138
199,61987,199,748,621,0.2660337552742642,45.65084884205331
200,62405,279,747,694,0.3050337552742639,73.00684899377592
201,62784,199,740,653,0.34203375527426383,41.593268686170845
202,63043,120,755,668,0.2750337552742641,21.213203435596427
203,63183,219,796,664,0.3515337552742639,41.19465984809196
204,63502,259,753,675,0.2450337552742643,44.384682042344295
205,63781,140,759,669,0.1820337552742637,8.48528137423857
206,63940,239,759,677,0.163033755274264,8.0
207,64240,1236,715,568,0.3100337552742638,117.5457357797381
208,65575,279,65,562,0.3075337552742643,650.0276917178221
209,65994,259,46,531,0.32003375527426403,36.359317925395686
210,66532,279,81,526,0.24703375527426408,35.35533905932738
211,66991,239,72,533,0.24203375527426374,11.40175425099138
212,67270,359,69,538,0.18153375527426396,5.830951894845301
213,67768,399,78,575,0.14203375527426365,38.07886552931954
214,68187,279,63,552,0.13653375527426403,27.459060435491963
215,68486,239,89,569,0.1200337552742643,31.064449134018133
216,68745,199,112,594,0.0650337552742637,33.97057550292606
217,69084,140,51,545,0.07153375527426409,78.24321056807422
218,69483,658,79,555,0.11153375527426412,29.732137494637012
219,70181,499,39,523,0.16353375527426417,51.22499389946279
220,70699,120,81,532,0.151033755274264,42.95346318982906
221,70958,100,62,540,0.15853375527426383,20.615528128088304
222,71357,558,701,513,0.30253375527426396,639.5701681598352
223,72553,479,47,532,0.16353375527426417,654.2759356724042
224,73072,100,46,540,0.1745337552742643,8.06225774829855
225,73351,140,86,541,0.09003375527426405,40.01249804748511
226,73550,279,671,514,0.06253375527426419,585.6227454599078
227,73889,538,729,526,0.13653375527426403,59.22837157984339
228,74448,140,687,571,0.11803375527426363,61.554853586049575
229,74647,140,247,238,0.15053375527426427,551.8052192576653
230,74846,578,242,180,0.1980337552742637,58.215118311311535
231,75664,179,748,622,0.15996624472573595,671.863081289633
232,76162,100,708,570,0.12853375527426403,65.60487786742691
233,76302,319,726,570,0.14403375527426432,18.0
234,76641,219,727,596,0.12403375527426386,26.019223662515376
235,76960,259,66,587,0.11203375527426385,661.0612679623576
236,77279,339,73,556,0.08946624472573594,31.78049716414141
237,77737,180,79,551,0.08053375527426399,7.810249675906654
238,77996,339,78,549,0.07653375527426443,2.23606797749979
239,78515,120,748,637,0.4924662447257355,675.7543932524597
240,78774,140,317,183,0.09696624472573578,626.0007987215351
241,78933,339,262,187,0.10303375527426395,55.14526271584895
242,79312,199,476,191,0.12203375527426408,214.03737991294884
243,79532,538,426,184,0.09846624472573628,50.48762224545735
244,80090,180,692,196,0.1429662447257365,266.27053911388697
245,80329,160,404,200,0.13696624472573582,288.0277764383151
246,80508,439,445,193,0.07596624472573588,41.593268686170845
247,81047,279,446,161,0.19046624472573592,32.01562118716424
248,81406,399,249,204,0.08453375527426354,201.6382900145704
249,81844,239,528,189,0.10353375527426412,279.4029348450012
250,82103,877,607,194,0.11853375527426424,79.1580697086532
251,83001,120,587,227,0.05246624472573602,38.58756276314948
252,83140,638,497,238,0.11003375527426362,90.6697303403953
253,83918,299,502,228,0.1404662447257361,11.180339887498949
254,84237,459,425,197,0.049966244725736075,83.00602387778854
255,84795,179,642,228,0.10746624472573574,219.20310216782974
256,85094,120,139,189,0.08396624472573633,504.5096629401661
257,85234,498,43,209,0.1265337552742638,98.0612053770501
258,85772,359,237,204,0.16853375527426406,194.06442229321684
259,86191,538,42,221,0.11903375527426396,195.7396229688818
260,86789,179,264,219,0.11203375527426385,222.00900882621858
261,86988,100,234,216,0.11003375527426407,30.14962686336267
262,87227,658,58,533,0.09803375527426406,362.58102542742085
263,87905,219,73,569,0.09953375527426411,39.0
264,88145,259,84,576,0.0795337552742641,13.038404810405298
265,88424,140,77,601,0.10303375527426395,25.96150997149434
266,88683,219,75,569,0.10253375527426423,32.0624390837628
267,89002,279,23,541,0.07553375527426409,59.0592922409336
268,89301,259,70,543,0.09753375527426433,47.042533945356304
269,89620,498,71,554,0.1150337552742644,11.045361017187261
270,90138,578,67,566,0.1584662447257359,12.649110640673518
271,90736,279,67,630,0.12396624472573636,64.0
272,91036,279,69,605,0.07496624472573599,25.079872407968907
273,91335,339,30,604,0.16696624472573607,39.01281840626232
274,91933,518,48,226,0.19603375527426392,378.4283287493155
275,92571,180,57,585,0.11603375527426385,359.1127956506145
276,92770,518,38,621,0.08903375527426372,40.70626487409524
277,93308,140,17,615,0.08853375527426399,21.840329667841555
278,93568,180,49,628,0.07696624472573621,34.539832078341085
279,93767,419,88,641,0.16696624472573562,41.10960958218893
280,94206,239,76,743,0.13196624472573548,102.70345661174214
281,94465,179,64,718,0.10846624472573607,27.730849247724095
282,94664,618,98,713,0.161466244725736,34.36568055487916
283,95382,259,39,625,0.16396624472573595,105.94810050208545
284,95781,180,769,626,0.13096624472573604,730.0006849311856
285,95980,179,740,740,0.16946624472573601,117.63077828527702
286,96179,199,750,687,0.1915337552742642,53.9351462406472
287,96598,140,682,556,0.3130337552742639,147.59742545180114
288,96817,219,703,573,0.24803375527426397,27.018512172212592
289,97097,100,682,567,0.2630337552742641,21.840329667841555
290,97316,379,713,565,0.2585337552742639,31.064449134018133
291,97715,179,719,563,0.233533755274264,6.324555320336759
292,97914,120,721,570,0.18053375527426363,7.280109889280518
293,98053,379,680,569,0.16053375527426406,41.012193308819754
294,98452,419,728,550,0.20653375527426432,51.62363799656123
295,98891,159,701,521,0.23653375527426368,39.6232255123179
296,99070,359,714,517,0.28803375527426356,13.601470508735444
297,99449,219,716,531,0.2660337552742642,14.142135623730951
298,99708,140,652,513,0.26653375527426393,66.48308055437865
299,99948,299,700,513,0.2815337552742645,48.0
300,100506,180,688,507,0.253533755274264,13.416407864998739
301,100705,419,669,519,0.22753375527426423,22.47220505424423
302,101244,379,704,540,0.1890337552742638,40.8166632639171
303,101842,817,704,535,0.3485337552742638,5.0
304,102679,239,700,555,0.36403375527426407,20.396078054371138
305,102958,120,705,564,0.22203375527426372,10.295630140987
306,103138,120,700,584,0.30853375527426374,20.615528128088304
307,103377,558,661,580,0.24603375527426374,39.20459156782532
308,104035,100,712,616,0.10303375527426395,62.42595614005443
309,104234,239,738,610,0.07896624472573599,26.68332812825267
310,104493,140,689,585,0.11946624472573619,55.00909015790027
311,104732,100,93,572,0.14903375527426377,596.1417616641196
312,104892,120,21,577,0.147033755274264,72.17340230306452
313,105032,279,40,590,0.16553375527426395,23.021728866442675
314,105610,159,44,605,0.0990337552742635,15.524174696260024
315,105789,638,25,606,0.08803375527426427,19.026297590440446
316,106706,379,83,635,0.06753375527426408,64.8459713474939
317,107125,179,767,590,0.38646624472573565,685.4786648758661
318,107324,159,708,592,0.06896624472573576,59.033888572581766
319,107504,180,742,593,0.1794662447257358,34.0147027033899
320,107703,100,809,615,0.09846624472573628,70.51950084905593
321,108042,498,93,621,0.175033755274264,716.0251392234773
322,108561,239,77,647,0.08853375527426399,30.528675044947494
323,108820,259,101,675,0.0795337552742641,36.87817782917155
324,109099,339,92,675,0.09646624472573562,9.0
325,109717,140,706,617,0.33646624472573583,616.7333297301193
326,109877,518,736,641,0.15246624472573567,38.41874542459709
327,110435,160,724,613,0.13653375527426403,30.463092423455635
328,110614,339,823,616,0.18453375527426408,99.04544411531506
329,111013,140,740,618,0.20403375527426393,83.02409288875127
330,111332,120,101,633,0.24953375527426402,639.1760320913168
331,111471,120,78,708,0.21553375527426422,78.44743462982075
332,111611,100,82,706,0.18703375527426358,4.47213595499958
333,111731,459,91,674,0.14553375527426438,33.24154027718932
334,112209,219,95,664,0.163033755274264,10.770329614269007
335,112608,140,786,632,0.10596624472573613,691.740558302027
336,112767,120,733,653,0.15146624472573622,57.0087712549569
337,113027,120,735,637,0.12796624472573592,16.1245154965971
338,113166,219,778,640,0.153466244725736,43.104524124504614
339,113545,180,748,637,0.20553375527426399,30.14962686336267
340,113804,100,771,633,0.12953375527426436,23.345235059857504
341,113964,339,739,655,0.2165337552742641,38.8329756778952
342,114422,120,809,645,0.15703375527426378,70.71067811865476
343,114721,259,734,609,0.24203375527426418,83.19254774317228
344,115020,199,834,589,0.22403375527426395,101.9803902718557
345,115519,179,738,619,0.26753375527426426,100.57832768544127
346,115838,379,728,682,0.22003375527426394,63.788713735268246
347,116356,578,708,583,0.26453375527426415,101.0
348,116954,179,693,526,0.1970337552742638,58.9406481131655
349,117193,219,693,497,0.23803375527426418,29.0
350,117512,319,728,521,0.29053375527426395,42.43819034784589
351,117891,299,761,643,0.300033755274264,126.38433447227548
352,118210,259,732,655,0.24303375527426363,31.38470965295043
353,118489,179,763,697,0.2030337552742636,52.20153254455275
354,118689,299,725,686,0.22703375527426362,39.56008088970496
355,119785,179,747,605,0.08346624472573572,83.93449827097318
356,120005,379,841,585,0.20003375527426392,96.1041102138717
357,120423,379,722,588,0.20503375527426426,119.03780911962384
358,120982,199,742,552,0.1640337552742639,41.182520563948
359,121480,279,735,536,0.07446624472573626,17.46424919657298
360,121779,180,737,520,0.1070337552742644,16.1245154965971
361,121978,279,718,647,0.15553375527426416,128.41339493993607
362,122278,419,723,594,0.11253375527426401,53.23532661682466
363,122876,179,99,664,0.05203375527426424,627.9140068512567
364,123075,219,82,677,0.094966244725736,21.400934559032695
365,123314,239,88,623,0.06846624472573604,54.3323108288245
366,123673,179,794,612,0.07846624472573582,706.0856888508646
367,123932,359,734,619,0.11203375527426429,60.40695324215582
368,124311,239,741,610,0.1265337552742638,11.40175425099138
369,124690,120,846,616,0.08653375527426421,105.17128885774862
370,124889,100,160,656,0.08503375527426416,687.165191202232
371,125069,678,87,650,0.15203375527426388,73.24616030891995
372,126145,259,95,691,0.08803375527426427,41.773197148410844
373,126425,279,83,711,0.17053375527426384,23.323807579381203
374,126783,120,85,711,0.13403375527426364,2.0
375,126923,180,60,700,0.1705337552742643,27.313000567495326
376,127162,159,747,663,0.1305337552742638,687.9956395210655
377,127342,100,723,639,0.1460337552742641,33.94112549695428
378,127541,359,727,628,0.21003375527426416,11.704699910719626
379,127980,140,735,616,0.20203375527426415,14.422205101855956
380,128319,199,834,597,0.3005337552742642,100.80674580602232
381,128578,120,766,592,0.25953375527426426,68.18357573492314
382,128777,180,722,674,0.22353375527426378,93.05912099305473
383,129056,180,730,652,0.1800337552742639,23.40939982143925
384,129256,140,724,653,0.19403375527426414,6.082762530298219
385,129415,180,812,640,0.24503375527426385,88.95504482602435
386,129654,100,757,643,0.24053375527426413,55.08175741568164
387,129834,219,105,705,0.268033755274264,654.9412187364603
388,130113,299,80,732,0.2245337552742641,36.796738985948195
389,130552,140,138,728,0.22303375527426406,58.137767414994535
390,130711,877,67,730,0.21853375527426389,71.02816342831905
391,131608,219,48,710,0.159033755274264,27.586228448267445
392,131848,140,99,714,0.11053375527426423,51.15662224971465
393,132007,200,99,710,0.15303375527426422,4.0
394,132306,219,119,740,0.03303375527426411,36.05551275463989
395,132545,140,117,767,0.08796624472573589,27.073972741361768
396,132705,100,62,650,0.07603375527426381,129.28263611173776
397,132924,498,92,646,0.11503375527426396,30.265491900843113
398,133901,219,84,658,0.11746624472573641,14.422205101855956
399,134140,120,88,629,0.08553375527426388,29.274562336608895
400,134400,159,75,616,0.09246624472573606,18.384776310850235
401,134599,419,101,639,0.3134662447257357,34.713109915419565
402,135117,339,86,668,0.08446624472573605,32.64965543462902
403,135476,219,93,698,0.11296624472573624,30.805843601498726
404,135935,219,87,758,0.09046624472573628,60.29925372672534
405,136174,419,94,748,0.08403375527426382,12.206555615733702
406,136613,339,101,756,0.054533755274264184,10.63014581273465
407,136971,379,95,733,0.06353375527426408,23.769728648009426
408,137889,558,93,647,0.12053375527426402,86.02325267042627
409,138726,438,728,616,0.16253375527426384,635.7562425961698
410,139185,219,711,636,0.22003375527426394,26.248809496813376
411,139524,139,736,632,0.26453375527426415,25.317977802344327
412,139723,180,784,625,0.3030337552742641,48.507731342539614
413,140082,179,729,658,0.21203375527426438,64.1404708432983
414,140361,239,94,641,0.18753375527426375,635.2275182956104
415,140660,120,72,616,0.14303375527426399,33.301651610693426
416,140899,140,750,526,0.19603375527426392,683.9473663959823
417,141059,279,675,462,0.18253375527426385,98.59513172565875
418,141557,219,225,183,0.378533755274264,529.4723788829782
419,141856,239,436,188,0.39503375527426376,211.05923339195564
420,142155,319,560,201,0.3235337552742643,124.67958934805648
421,142494,957,593,203,0.276033755274264,33.06055050963308
422,143491,239,448,197,0.20803375527426438,145.1240848377691
423,143750,479,493,247,0.1435337552742637,67.26812023536856
424,144249,379,448,188,0.17753375527426396,74.2024258363566
425,144767,179,97,247,0.1340337552742641,355.92414922283655
426,144966,957,61,228,0.18303375527426402,40.70626487409524
427,145943,798,59,229,0.14403375527426432,2.23606797749979
428,146781,538,252,221,0.16603375527426367,193.1657319505714
429,147339,319,240,222,0.15853375527426428,12.041594578792296
430,147678,339,268,219,0.14853375527426405,28.160255680657446
431,148057,219,54,235,0.15153375527426372,214.59729728027799
432,148495,159,33,565,0.13353375527426392,330.667506719363
433,148675,259,15,515,0.16003375527426433,53.14132102234569
434,149094,219,24,610,0.10903375527426418,95.42536350467836
435,149333,140,23,608,0.19103375527426403,2.23606797749979
436,149572,140,75,609,0.159033755274264,52.009614495783374
437,149731,299,39,570,0.1835337552742642,53.075418038862395
438,150050,259,46,575,0.17003375527426412,8.602325267042627
439,150330,180,10,548,0.20603375527426415,45.0
440,150649,259,62,547,0.20153375527426398,52.009614495783374
441,151067,359,41,601,0.16603375527426367,57.9396237474839
442,151446,299,71,579,0.10496624472573624,37.20215047547655
443,151765,538,32,585,0.11646624472573608,39.45883931389772
444,152323,678,81,613,0.18096624472573586,56.43580423808985
445,153141,459,44,629,0.13896624472573604,40.311288741492746
446,153619,538,113,647,0.13346624472573643,71.30918594402827
447,154217,199,116,663,0.08653375527426421,16.278820596099706
448,154457,140,114,637,0.05053375527426418,26.076809620810597
449,154616,179,75,625,0.05703375527426413,40.80441152620633
450,154835,259,699,554,0.07553375527426409,628.0262733357579
451,155135,219,671,579,0.175033755274264,37.53664875824692
452,155533,299,708,558,0.27753375527426405,42.5440947723653
453,155952,259,652,571,0.2005337552742641,57.48912940721924
454,156231,120,685,572,0.23803375527426374,33.015148038438355
455,156410,279,709,585,0.21753375527426355,27.294688127912362
456,156829,558,701,544,0.2225337552742639,41.773197148410844
457,157467,518,661,527,0.22103375527426383,43.46262762420146
458,158006,219,705,565,0.151033755274264,58.137767414994535
459,158265,219,742,542,0.18553375527426397,43.56604182158393
460,158604,179,782,534,0.20453375527426365,40.792156108742276
461,158863,239,683,542,0.21703375527426383,99.32270636667126
462,159122,120,689,559,0.18203375527426457,18.027756377319946
463,159301,219,756,578,0.16603375527426367,69.6419413859206
464,159959,219,82,614,0.1955337552742642,674.9607395989784
465,160219,180,117,639,0.1500337552742641,43.01162633521314
466,160757,140,115,646,0.12296624472573603,7.280109889280518
467,160956,160,120,665,0.04996624472573652,19.6468827043885
468,161415,339,742,599,0.13903375527426398,625.4918065010924
469,161774,419,744,594,0.16753375527426417,5.385164807134504
470,162212,1914,744,591,0.20253375527426387,3.0
471,164465,140,67,582,0.19053375527426386,677.0598201045459
472,164625,419,70,572,0.19903375527426403,10.44030650891055
473,165063,219,35,546,0.18853375527426408,43.60045871318328
474,165303,279,61,535,0.14803375527426388,28.231188426986208
475,165662,339,709,537,0.11003375527426407,648.0030864124028
476,166020,279,670,498,0.23103375527426406,55.154328932550705
477,166320,219,717,471,0.2795337552742643,54.20332093147061
478,166738,459,736,552,0.22703375527426406,83.19855767980596
479,167276,120,712,538,0.23403375527426418,27.784887978899608
480,167416,140,713,523,0.2530337552742643,15.033296378372908
481,167576,219,735,540,0.22053375527426367,27.80287754891569
482,167914,279,80,554,0.22603375527426417,655.1496012362368
483,168213,180,60,583,0.11803375527426363,35.22782990761707
484,168413,179,59,581,0.10553375527426434,2.23606797749979
485,168712,379,72,571,0.28296624472573617,16.401219466856727
486,169111,518,90,598,0.0780337552742636,32.449961479175904
487,169669,120,153,596,0.0780337552742636,63.0317380372777
488,169808,299,105,618,0.11853375527426424,52.80151512977634
