number,time,duration,screen_x,screen_y,avg_dilation
1,140,100,721,378,0.190033755
2,280,439,689,523,0.261533755
3,938,179,387,327,0.370533755
4,1137,219,229,214,0.326033755
5,1775,179,63,527,0.250533755
6,2094,279,629,496,0.392966245
7,2453,139,527,285,0.090033755
8,2653,179,322,186,0.197033755
9,2852,578,252,214,0.232533755
10,3450,279,67,189,0.137533755
11,3749,180,41,217,0.138533755
12,4048,120,112,480,0.259966245
13,4208,219,47,559,0.045466245
14,4646,219,85,216,0.079533755
15,4886,140,42,214,0.059533755
16,5085,140,393,195,0.054466245
17,5244,239,227,195,0.050966245
18,5504,259,271,195,0.074966245
19,5783,239,236,202,0.064466245
20,6042,339,63,195,0.090966245
21,6640,219,69,536,0.167466245
22,6879,239,74,541,0.126966245
23,7278,538,75,589,0.268466245
24,7856,160,69,589,0.238466245
25,8135,120,79,593,0.084966245
26,8335,199,30,604,0.116966245
27,8554,159,27,604,0.154466245
28,8773,738,68,614,0.193966245
29,9531,479,101,622,0.127966245
30,10029,179,49,595,0.087966245
31,10388,120,56,601,0.276466245
32,10548,100,68,632,0.130533755
33,10667,259,27,611,0.104033755
34,10947,160,66,613,0.139033755
35,11186,120,62,623,0.076533755
36,11545,120,63,623,0.136533755
37,11724,159,59,610,0.152533755
38,11904,100,21,616,0.175033755
39,12023,140,16,609,0.182033755
40,12242,219,63,634,0.128533755
41,12542,120,28,608,0.145033755
42,12781,179,29,618,0.110533755
43,13000,160,32,616,0.090466245
44,13399,120,37,547,0.071966245
45,13539,219,72,546,0.097533755
46,13798,160,52,527,0.085533755
47,14097,618,70,538,0.115533755
48,14775,239,35,553,0.074033755
49,15034,1017,95,558,0.193966245
50,16210,937,88,580,0.093966245
51,17267,219,493,722,0.145466245
52,17566,219,105,599,0.153533755
53,17965,179,748,537,0.120033755
54,18164,279,681,524,0.134033755
55,18463,299,710,518,0.187033755
56,18862,219,68,528,0.197533755
57,19101,199,79,548,0.136533755
58,19380,120,651,540,0.087966245
59,19520,219,691,540,0.119533755
60,19819,319,702,537,0.227533755
61,20158,199,717,543,0.214533755
62,20457,120,685,557,0.123966245
63,20596,259,717,555,0.215966245
64,20875,160,712,551,0.121533755
65,21194,199,664,522,0.174033755
66,21454,638,732,525,0.170533755
67,22112,219,727,585,0.116033755
68,22351,538,734,582,0.095533755
69,23408,219,718,549,0.120033755
70,23806,140,95,582,0.179533755
71,24006,140,77,557,0.184033755
72,24305,100,769,617,0.112533755
73,24504,180,722,599,0.194033755
74,24703,439,699,583,0.185033755
75,25162,379,736,575,0.144033755
76,25760,219,751,640,0.096466245
77,25999,100,745,655,0.087033755
78,26139,339,748,726,0.127033755
79,26697,120,709,565,0.162033755
80,26857,239,728,641,0.112533755
81,27156,239,717,607,0.168033755
82,27415,160,692,615,0.227533755
83,27614,160,689,604,0.178533755
84,27794,279,687,615,0.199033755
85,28093,140,755,619,0.231033755
86,28252,140,753,625,0.151033755
87,28691,179,701,552,0.208033755
88,28890,180,718,548,0.134533755
89,29090,299,719,537,0.237533755
90,29429,140,687,555,0.338533755
91,29608,279,772,556,0.231033755
92,29907,219,714,550,0.268533755
93,30146,120,739,553,0.223533755
94,30286,140,737,566,0.269033755
95,30445,219,750,568,0.230533755
96,30904,160,659,521,0.265033755
97,31143,120,693,514,0.239033755
98,31403,359,729,527,0.264533755
99,31821,259,772,552,0.229533755
100,32120,259,659,512,0.234033755
101,32399,219,702,509,0.304533755
102,32778,100,702,681,0.234533755
103,32898,518,702,642,0.280533755
104,33436,120,715,609,0.275533755
105,33675,120,660,613,0.259533755
106,33835,219,699,617,0.322033755
107,34074,239,767,637,0.293033755
108,34333,319,743,660,0.288033755
109,34772,199,786,650,0.295533755
110,35011,339,696,678,0.213533755
111,35430,239,712,666,0.227533755
112,35709,239,731,636,0.248033755
113,35988,100,674,664,0.201533755
114,36108,698,686,648,0.297533755
115,36865,120,662,643,0.277033755
116,37085,359,735,666,0.270033755
117,37503,299,682,675,0.226533755
118,37862,279,709,675,0.302533755
119,38161,239,663,674,0.261533755
120,38520,179,765,687,0.136033755
121,38759,279,730,705,0.247033755
122,39078,100,747,739,0.229033755
123,39397,100,822,722,0.331033755
124,39597,379,716,736,0.361533755
125,40016,120,785,720,0.276533755
126,40195,279,711,693,0.242533755
127,40574,100,770,762,0.177033755
128,40893,200,842,722,0.275033755
129,41112,179,728,741,0.182033755
130,41311,239,731,724,0.219533755
131,41750,219,737,700,0.243533755
132,41989,837,693,706,0.291533755
133,43066,259,664,708,0.224033755
134,43345,239,718,705,0.219033755
135,43684,140,789,709,0.201033755
136,43863,459,729,755,0.272533755
137,44382,160,778,763,0.231533755
138,44581,239,736,776,0.223033755
139,44840,578,746,790,0.201033755
140,45538,379,731,764,0.222533755
141,45937,199,708,742,0.224533755
142,46156,459,723,745,0.218033755
143,46635,478,814,738,0.285033755
144,47133,120,849,721,0.232033755
145,47332,100,724,766,0.236533755
146,47452,100,730,762,0.271533755
147,47632,219,795,774,0.196533755
148,47931,239,734,763,0.194533755
149,48230,120,775,768,0.145533755
150,48389,419,729,819,0.156533755
151,48868,279,679,717,0.226033755
152,49167,259,721,706,0.198033755
153,49466,199,724,705,0.246533755
154,49685,319,745,725,0.173533755
155,50024,179,711,722,0.187533755
156,50283,120,750,720,0.206033755
157,50443,379,682,713,0.235033755
158,50861,120,687,592,0.260533755
159,51001,199,682,611,0.300033755
160,51220,239,695,543,0.319033755
