time,duration,screen_x,secrren_y,avg_dilation
172,120,721,344,0.20246624472573593
491,100,709,360,0.2519662447257356
790,100,680,432,0.05146624472573613
930,140,679,439,0.031466244725736114
1169,100,668,428,0.18796624472573642
1628,219,569,1012,0.2209662447257359
3063,100,163,301,0.06453375527426397
3183,199,186,369,0.015033755274263871
3462,279,389,333,0.018966244725735937
3761,618,389,330,
4419,259,392,342,
4858,339,61,209,
5217,120,50,201,
5456,100,466,730,
5576,259,526,744,
6114,100,412,836,
6253,259,399,850,
6533,219,361,882,
7011,339,57,191,
7868,139,519,752,
8028,279,493,741,
8327,100,443,762,
8446,160,439,748,
8825,100,415,315,
9045,219,413,341,
9443,299,582,764,
9822,140,596,429,
10041,160,633,266,
10221,1136,614,221,
11756,259,589,239,
12035,299,551,217,
12434,100,457,778,
12733,399,472,742,
13331,439,948,677,
13830,180,949,679,
14129,179,643,367,
14328,119,642,378,
14767,100,492,497,
14886,219,497,493,
15146,219,406,487,
15465,140,467,478,
15724,279,505,482,
16441,100,495,478,
16641,120,506,471,
16840,120,502,479,
17339,160,570,477,
17618,100,484,520,
18355,239,549,503,
20868,100,701,498,
21246,100,689,479,
21825,120,462,477,
22263,100,438,403,
22403,100,443,403,
22642,199,447,396,
22861,100,459,397,
23041,100,434,400,
23180,100,430,405,
23300,100,495,427,
23798,100,430,467,
23938,100,458,403,
24058,199,472,387,
24317,219,467,386,
24656,279,468,397,
24955,120,467,402,
25094,100,472,400,
25214,219,466,400,
25712,139,555,335,
25952,179,606,331,
26211,140,361,411,
26510,100,391,423,
26689,140,477,400,
27028,160,601,430,
27487,120,579,435,
28185,120,502,519,
28763,140,470,498,
29042,140,465,445,
29201,140,489,402,
29520,120,425,496,
29700,179,439,488,
29899,100,525,466,
30059,140,525,475,
30218,219,535,463,
30577,119,484,479,
30737,120,635,435,
30916,219,587,442,
31295,100,467,500,
31454,120,497,513,
31614,239,517,527,
32152,120,497,382,
32451,159,376,416,
33049,100,1201,-41,0.4060337552742639
33189,438,1247,55,0.5690337552742637
34365,160,586,272,0.34503375527426394
34684,219,876,295,0.393033755274264
34943,299,1043,290,0.18403375527426435
35322,179,1101,831,0.26703375527426365
35522,219,1107,799,0.2860337552742638
35920,339,1111,886,0.10103375527426417
36459,359,1098,809,0.1370337552742642
36837,100,1077,787,0.020533755274263932
37535,219,106,156,
37894,160,250,176,
38074,279,279,189,
38472,120,909,700,0.10046624472573606
38692,100,950,697,0.0999662447257359
38911,937,943,766,0.12446624472573609
39928,120,929,652,0.1304662447257363
40167,439,934,684,0.12446624472573609
40626,219,987,676,0.16496624472573584
40865,140,1016,691,0.17096624472573607
41024,379,1021,681,0.16946624472573601
41463,279,973,764,0.03596624472573584
41762,538,971,687,0.11803375527426363
42320,359,969,690,0.048466244725735574
42699,279,980,650,0.2499662447257358
42998,439,948,618,0.13646624472573565
43576,160,897,689,0.2519662447257356
43856,219,913,732,0.1224662447257363
44194,578,1035,745,0.0544662447257358
44793,179,1016,755,0.12446624472573609
45291,179,116,191,
45550,100,329,190,
45670,479,277,186,
46726,140,1022,765,0.1819662447257362
46886,199,1018,762,0.22546624472573606
47365,179,290,589,0.18896624472573587
47604,239,282,209,0.0780337552742636
47903,339,71,186,0.06703375527426392
48361,379,1010,728,0.1949662447257361
48760,239,1035,736,0.24746624472573586
49019,239,925,675,0.3824662447257361
49278,459,935,672,0.3479662447257361
49777,219,1015,733,0.3349662447257358
50076,299,1008,761,0.40446624472573633
50415,518,988,706,0.25896624472573615
51053,718,1011,752,0.23246624472573574
52070,120,875,655,0.513966244725736
52309,259,407,727,
52748,199,390,245,0.03446624472573623
52987,399,245,201,0.23203375527426395
53545,199,306,194,0.0780337552742636
53844,120,399,627,0.35296624472573557
54044,100,415,745,0.2314662447257363
54343,160,1022,754,0.20096624472573588
54542,259,1020,745,0.14196624472573616
54921,139,1040,733,0.44896624472573565
55120,359,952,690,0.24546624472573564
55698,140,992,659,0.3204662447257358
55878,379,998,762,0.38696624472573626
56297,179,1002,752,0.24096624472573636
56954,180,973,676,0.23946624472573586
57154,279,1008,671,0.26596624472573627
