number,time,duration,screen_x,secrren_y
1,140,100,721,378
2,280,439,689,523
3,938,179,387,327
4,1137,219,229,214
5,1775,179,63,527
6,2094,279,629,496
7,2453,139,527,285
8,2653,179,322,186
9,2852,578,252,214
10,3450,279,67,189
11,3749,180,41,217
12,4048,120,112,480
13,4208,219,47,559
14,4646,219,85,216
15,4886,140,42,214
16,5085,140,393,195
17,5244,239,227,195
18,5504,259,271,195
19,5783,239,236,202
20,6042,339,63,195
21,6640,219,69,536
22,6879,239,74,541
23,7278,538,75,589
24,7856,160,69,589
25,8135,120,79,593
26,8335,199,30,604
27,8554,159,27,604
28,8773,738,68,614
29,9531,479,101,622
30,10029,179,49,595
31,10388,120,56,601
32,10548,100,68,632
33,10667,259,27,611
34,10947,160,66,613
35,11186,120,62,623
36,11545,120,63,623
37,11724,159,59,610
38,11904,100,21,616
39,12023,140,16,609
40,12242,219,63,634
41,12542,120,28,608
42,12781,179,29,618
43,13000,160,32,616
44,13399,120,37,547
45,13539,219,72,546
46,13798,160,52,527
47,14097,618,70,538
48,14775,239,35,553
49,15034,1017,95,558
50,16210,937,88,580
51,17267,219,493,722
52,17566,219,105,599
53,17965,179,748,537
54,18164,279,681,524
55,18463,299,710,518
56,18862,219,68,528
57,19101,199,79,548
58,19380,120,651,540
59,19520,219,691,540
60,19819,319,702,537
61,20158,199,717,543
62,20457,120,685,557
63,20596,259,717,555
64,20875,160,712,551
65,21194,199,664,522
66,21454,638,732,525
67,22112,219,727,585
68,22351,538,734,582
69,23408,219,718,549
70,23806,140,95,582
71,24006,140,77,557
72,24305,100,769,617
73,24504,180,722,599
74,24703,439,699,583
75,25162,379,736,575
76,25760,219,751,640
77,25999,100,745,655
78,26139,339,748,726
79,26697,120,709,565
80,26857,239,728,641
81,27156,239,717,607
82,27415,160,692,615
83,27614,160,689,604
84,27794,279,687,615
85,28093,140,755,619
86,28252,140,753,625
87,28691,179,701,552
88,28890,180,718,548
89,29090,299,719,537
90,29429,140,687,555
91,29608,279,772,556
92,29907,219,714,550
93,30146,120,739,553
94,30286,140,737,566
95,30445,219,750,568
96,30904,160,659,521
97,31143,120,693,514
98,31403,359,729,527
99,31821,259,772,552
100,32120,259,659,512
101,32399,219,702,509
102,32778,100,702,681
103,32898,518,702,642
104,33436,120,715,609
105,33675,120,660,613
106,33835,219,699,617
107,34074,239,767,637
108,34333,319,743,660
109,34772,199,786,650
110,35011,339,696,678
111,35430,239,712,666
112,35709,239,731,636
113,35988,100,674,664
114,36108,698,686,648
115,36865,120,662,643
116,37085,359,735,666
117,37503,299,682,675
118,37862,279,709,675
119,38161,239,663,674
120,38520,179,765,687
121,38759,279,730,705
122,39078,100,747,739
123,39397,100,822,722
124,39597,379,716,736
125,40016,120,785,720
126,40195,279,711,693
127,40574,100,770,762
128,40893,200,842,722
129,41112,179,728,741
130,41311,239,731,724
131,41750,219,737,700
132,41989,837,693,706
133,43066,259,664,708
134,43345,239,718,705
135,43684,140,789,709
136,43863,459,729,755
137,44382,160,778,763
138,44581,239,736,776
139,44840,578,746,790
140,45538,379,731,764
141,45937,199,708,742
142,46156,459,723,745
143,46635,478,814,738
144,47133,120,849,721
145,47332,100,724,766
146,47452,100,730,762
147,47632,219,795,774
148,47931,239,734,763
149,48230,120,775,768
150,48389,419,729,819
151,48868,279,679,717
152,49167,259,721,706
153,49466,199,724,705
154,49685,319,745,725
155,50024,179,711,722
156,50283,120,750,720
157,50443,379,682,713
158,50861,120,687,592
159,51001,199,682,611
160,51220,239,695,543
161,51480,179,690,521
162,51719,139,650,514
163,51878,219,685,511
164,52137,279,728,542
165,52456,140,737,526
166,52736,179,690,532
167,52935,179,736,542
168,53134,120,740,558
169,53413,479,826,554
170,53912,199,711,520
171,54131,100,714,537
172,54251,498,722,548
173,54869,239,684,544
174,55128,479,718,562
175,55627,120,729,563
176,55766,120,751,561
177,55906,140,800,552
178,56105,179,760,558
179,56304,199,722,576
180,56544,339,721,583
181,56903,219,685,581
182,57182,120,738,604
183,57321,120,732,619
184,57560,179,718,596
185,57919,120,711,618
186,58139,199,739,614
187,58458,778,695,623
188,59255,160,765,629
189,59435,200,746,678
190,59714,299,691,575
191,60093,100,690,639
192,60332,140,749,685
193,60551,219,803,671
194,60790,140,744,691
195,61050,140,700,595
196,61229,140,680,584
197,61388,179,722,561
198,61688,199,726,581
199,61987,199,748,621
200,62405,279,747,694
201,62784,199,740,653
202,63043,120,755,668
203,63183,219,796,664
204,63502,259,753,675
205,63781,140,759,669
206,63940,239,759,677
207,64240,1236,715,568
208,65575,279,65,562
209,65994,259,46,531
210,66532,279,81,526
211,66991,239,72,533
212,67270,359,69,538
213,67768,399,78,575
214,68187,279,63,552
215,68486,239,89,569
216,68745,199,112,594
217,69084,140,51,545
218,69483,658,79,555
219,70181,499,39,523
220,70699,120,81,532
221,70958,100,62,540
222,71357,558,701,513
223,72553,479,47,532
224,73072,100,46,540
225,73351,140,86,541
226,73550,279,671,514
227,73889,538,729,526
228,74448,140,687,571
229,74647,140,247,238
230,74846,578,242,180
231,75664,179,748,622
232,76162,100,708,570
233,76302,319,726,570
234,76641,219,727,596
235,76960,259,66,587
236,77279,339,73,556
237,77737,180,79,551
238,77996,339,78,549
239,78515,120,748,637
240,78774,140,317,183
241,78933,339,262,187
242,79312,199,476,191
243,79532,538,426,184
244,80090,180,692,196
245,80329,160,404,200
246,80508,439,445,193
247,81047,279,446,161
248,81406,399,249,204
249,81844,239,528,189
250,82103,877,607,194
251,83001,120,587,227
252,83140,638,497,238
253,83918,299,502,228
254,84237,459,425,197
255,84795,179,642,228
256,85094,120,139,189
257,85234,498,43,209
258,85772,359,237,204
259,86191,538,42,221
260,86789,179,264,219
261,86988,100,234,216
262,87227,658,58,533
263,87905,219,73,569
264,88145,259,84,576
265,88424,140,77,601
266,88683,219,75,569
267,89002,279,23,541
268,89301,259,70,543
269,89620,498,71,554
270,90138,578,67,566
271,90736,279,67,630
272,91036,279,69,605
273,91335,339,30,604
274,91933,518,48,226
275,92571,180,57,585
276,92770,518,38,621
277,93308,140,17,615
278,93568,180,49,628
279,93767,419,88,641
280,94206,239,76,743
281,94465,179,64,718
282,94664,618,98,713
283,95382,259,39,625
284,95781,180,769,626
285,95980,179,740,740
286,96179,199,750,687
287,96598,140,682,556
288,96817,219,703,573
289,97097,100,682,567
290,97316,379,713,565
291,97715,179,719,563
292,97914,120,721,570
293,98053,379,680,569
294,98452,419,728,550
295,98891,159,701,521
296,99070,359,714,517
297,99449,219,716,531
298,99708,140,652,513
299,99948,299,700,513
300,100506,180,688,507
301,100705,419,669,519
302,101244,379,704,540
303,101842,817,704,535
304,102679,239,700,555
305,102958,120,705,564
306,103138,120,700,584
307,103377,558,661,580
308,104035,100,712,616
309,104234,239,738,610
310,104493,140,689,585
311,104732,100,93,572
312,104892,120,21,577
313,105032,279,40,590
314,105610,159,44,605
315,105789,638,25,606
316,106706,379,83,635
317,107125,179,767,590
318,107324,159,708,592
319,107504,180,742,593
320,107703,100,809,615
321,108042,498,93,621
322,108561,239,77,647
323,108820,259,101,675
324,109099,339,92,675
325,109717,140,706,617
326,109877,518,736,641
327,110435,160,724,613
328,110614,339,823,616
329,111013,140,740,618
330,111332,120,101,633
331,111471,120,78,708
332,111611,100,82,706
333,111731,459,91,674
334,112209,219,95,664
335,112608,140,786,632
336,112767,120,733,653
337,113027,120,735,637
338,113166,219,778,640
339,113545,180,748,637
340,113804,100,771,633
341,113964,339,739,655
342,114422,120,809,645
343,114721,259,734,609
344,115020,199,834,589
345,115519,179,738,619
346,115838,379,728,682
347,116356,578,708,583
348,116954,179,693,526
349,117193,219,693,497
350,117512,319,728,521
351,117891,299,761,643
352,118210,259,732,655
353,118489,179,763,697
354,118689,299,725,686
355,119785,179,747,605
356,120005,379,841,585
357,120423,379,722,588
358,120982,199,742,552
359,121480,279,735,536
360,121779,180,737,520
361,121978,279,718,647
362,122278,419,723,594
363,122876,179,99,664
364,123075,219,82,677
365,123314,239,88,623
366,123673,179,794,612
367,123932,359,734,619
368,124311,239,741,610
369,124690,120,846,616
370,124889,100,160,656
371,125069,678,87,650
372,126145,259,95,691
373,126425,279,83,711
374,126783,120,85,711
375,126923,180,60,700
376,127162,159,747,663
377,127342,100,723,639
378,127541,359,727,628
379,127980,140,735,616
380,128319,199,834,597
381,128578,120,766,592
382,128777,180,722,674
383,129056,180,730,652
384,129256,140,724,653
385,129415,180,812,640
386,129654,100,757,643
387,129834,219,105,705
388,130113,299,80,732
389,130552,140,138,728
390,130711,877,67,730
391,131608,219,48,710
392,131848,140,99,714
393,132007,200,99,710
394,132306,219,119,740
395,132545,140,117,767
396,132705,100,62,650
397,132924,498,92,646
398,133901,219,84,658
399,134140,120,88,629
400,134400,159,75,616
401,134599,419,101,639
402,135117,339,86,668
